ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE814H01029,Adani Power,05/28/2026,Buy,NSE,2050,229.27
INE326B01035,Almondz Global Securities,05/28/2026,Buy,NSE,1000,20.05
INE005B01027,Avantel,05/28/2026,Buy,NSE,1,171.83
INE011E01029,Balu Forge Industries,05/28/2026,Buy,NSE,1,551.15
INE213D01015,Beekay Steel,05/28/2026,Buy,NSE,30,459.14
INE263A01024,Bharat Electronics,05/28/2026,Buy,NSE,40,421.28
INE052T01021,Best Agrolife,05/28/2026,Buy,NSE,300,445.05
INE465A01025,Bharat Forge,05/28/2026,Buy,NSE,5,1738.75
INE838B01021,Bharat Rasayan,05/28/2026,Buy,NSE,16,3319.68
INE257A01026,BHEL,05/28/2026,Buy,NSE,30,413.90
INE736A01011,CDSL,05/28/2026,Buy,NSE,4,1171.33
INE0LMW01024,Cello World,05/28/2026,Buy,NSE,35,549.68
INE345B01019,Cerebra Integrated,05/28/2026,Buy,NSE,36343,8.05
INE515A01019,Cockerill,05/28/2026,Buy,NSE,7,9497.86
INE124G01033,Delta Corp,05/28/2026,Buy,NSE,20,69.98
INE935N01020,Dixon Technologies,05/28/2026,Buy,NSE,2,10438.58
INE255Z01027,E2E Networks,05/28/2026,Buy,NSE,10,403.19
INE1NPP01017,Enrin,05/28/2026,Buy,NSE,2,7371.60
INE0G5901015,Epack,05/28/2026,Buy,NSE,55,360.21
INE861N01036,Genpharma,05/28/2026,Buy,NSE,3000,3.07
INE260B01028,Godfrey Phillips,05/28/2026,Buy,NSE,25,2276.42
INE484J01027,Godrej Properties,05/28/2026,Buy,NSE,23,1834.84
INE0HOQ01053,Groww,05/28/2026,Buy,NSE,40,198.52
INE844O01030,Gujarat Gas,05/28/2026,Buy,NSE,50,323.74
INE066F01020,HAL,05/28/2026,Buy,NSE,4,3780.13
