ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE263A01024,Bharat Electronics,05/28/2026,Buy,NSE,45,437.92
INE838B01021,Bharat Rasayan,05/28/2026,Buy,NSE,2,1590.42
INE345B01019,Cerebra Integrated,05/28/2026,Buy,NSE,16413,9.74
INE255Z01027,E2E Networks,05/28/2026,Buy,NSE,10,294.04
INE170I01016,Hinduja Global Solutions,05/28/2026,Buy,NSE,10,536.71
INE669E01016,Vodafone Idea,05/28/2026,Buy,NSE,1000,7.08
INE227G01018,Indowind Energy,05/28/2026,Buy,NSE,1500,15.03
INE681B01017,Indian Drugs & Medco,05/28/2026,Buy,NSE,35,475.79
INE154A01025,ITC,05/28/2026,Buy,NSE,5,300.06
INE379A01028,ITC Hotels,05/28/2026,Buy,NSE,10,172.26
INE758E01017,Jio Financial Services,05/28/2026,Buy,NSE,89,227.65
INE237A01036,Kotak Mahindra Bank,05/28/2026,Buy,NSE,30,426.20
INE214T01019,LTM,05/28/2026,Buy,NSE,5,4682.35
INF769K01HP3,Motilal Oswal NASDAQ 100 FOF,05/28/2026,Buy,NSE,100,82.90
INE771A01026,Mirza International,05/28/2026,Buy,NSE,300,53.11
INE420C01059,Paisalo Digital,05/28/2026,Buy,NSE,36900,45.66
INE167E01037,Panchmahal Steel,05/28/2026,Buy,NSE,14,118.65
INE244B01030,Patel Engineering,05/28/2026,Buy,NSE,200,33.85
INE511C01022,Poonawalla Fincorp,05/28/2026,Buy,NSE,15,437.75
INE020B01018,REC Limited,05/28/2026,Buy,NSE,45,345.80
INE036A01016,Reliance Infrastructure,05/28/2026,Buy,NSE,100,296.00
INE614G01033,Reliance Power,05/28/2026,Buy,NSE,60,43.05
INE399K01017,RattanIndia Power,05/28/2026,Buy,NSE,1000,10.27
INE323J01019,Somi Conveyor Belting,05/28/2026,Buy,NSE,100,102.41
INE947A01014,Sunflag Iron,05/28/2026,Buy,NSE,5,338.65
