ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE470A01017,3M India,05/28/2026,Buy,NSE,1,31062.00
INE814H01029,Adani Power,05/28/2026,Buy,NSE,150,152.41
INE326B01035,Almondz Global Securities,05/28/2026,Buy,NSE,2105,15.26
INE377Y01014,Bajaj Housing Finance,05/28/2026,Buy,NSE,120,118.53
INE296A01032,Bajaj Finance,05/28/2026,Buy,NSE,20,870.00
INE186H01022,BASF India,05/28/2026,Buy,NSE,650,49.29
INE462A01022,Bayer Cropscience,05/28/2026,Buy,NSE,7,6244.66
INE464A01036,Balrampur Chini,05/28/2026,Buy,NSE,18,3565.62
INE213D01015,Beekay Steel,05/28/2026,Buy,NSE,100,468.25
INE263A01024,Bharat Electronics,05/28/2026,Buy,NSE,50,433.49
INE258A01024,BEML,05/28/2026,Buy,NSE,20,4231.33
INE463A01038,Berger Paints,05/28/2026,Buy,NSE,10,487.47
INE052T01021,Best Agrolife,05/28/2026,Buy,NSE,1000,19.21
INE465A01025,Bharat Forge,05/28/2026,Buy,NSE,5,1030.43
INE838B01021,Bharat Rasayan,05/28/2026,Buy,NSE,8,10245.12
INE257A01026,BHEL,05/28/2026,Buy,NSE,10,404.18
INE118H01025,BSE Ltd,05/28/2026,Buy,NSE,31,2340.71
INE264T01014,Capacite Infraprojects,05/28/2026,Buy,NSE,85,255.52
INE0LMW01024,Cello World,05/28/2026,Buy,NSE,60,534.56
INE345B01019,Cerebra Integrated,05/28/2026,Buy,NSE,23900,7.22
INE515A01019,Cockerill,05/28/2026,Buy,NSE,23,8025.54
INE124G01033,Delta Corp,05/28/2026,Buy,NSE,210,66.55
INE255Z01027,E2E Networks,05/28/2026,Buy,NSE,25,427.83
INE532F01054,Edelweiss Financial,05/28/2026,Buy,NSE,385,111.93
INE1NPP01017,Enrin,05/28/2026,Buy,NSE,12,3688.02
