ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE0G5901015,Epack Durable,05/28/2026,Buy,NSE,140,285.89
INE694X01030,GG Engineering,05/28/2026,Buy,NSE,20000,1.53
INE162A01010,Gujarat Industries Power,05/28/2026,Buy,NSE,180,163.04
INE260B01028,Godfrey Phillips,05/28/2026,Buy,NSE,12,2108.63
INE512D01028,Gourmet,05/28/2026,Buy,NSE,100,7.92
INE0HOQ01053,Groww,05/28/2026,Buy,NSE,40,198.61
INE066F01020,HAL,05/28/2026,Buy,NSE,4,4138.19
INE419U01012,Happiest Minds,05/28/2026,Buy,NSE,25,580.12
INE549A01026,HCC,05/28/2026,Buy,NSE,50,17.65
INE040A01034,HDFC Bank,05/28/2026,Buy,NSE,15,767.61
INE170I01016,Hinduja Global Solutions,05/28/2026,Buy,NSE,146,487.79
INE267A01025,Hindustan Zinc,05/28/2026,Buy,NSE,2,420.59
INE090A01021,ICICI Bank,05/28/2026,Buy,NSE,355,1351.89
INE669E01016,Vodafone Idea,05/28/2026,Buy,NSE,15010,9.28
INE092T01019,IDFC First Bank,05/28/2026,Buy,NSE,700,67.54
INE681B01017,Indian Drugs & Medco,05/28/2026,Buy,NSE,100,439.69
INE154A01025,ITC,05/28/2026,Buy,NSE,85,332.93
INE758E01017,Jio Financial Services,05/28/2026,Buy,NSE,5,242.46
INE351F01018,Jaiprakash Power,05/28/2026,Buy,NSE,250,19.40
INE824G01012,JSW Holdings,05/28/2026,Buy,NSE,3,12176.04
INE237A01036,Kotak Mahindra Bank,05/28/2026,Buy,NSE,35,386.16
INE359U01028,Lancer Container Lines,05/28/2026,Buy,NSE,2100,31.58
INE0J1Y01017,LIC India,05/28/2026,Buy,NSE,10,414.42
INE802B01027,Linc Pens,05/28/2026,Buy,NSE,423,126.23
INE018A01030,Larsen & Toubro,05/28/2026,Buy,NSE,13,3915.07
