ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE498L01015,L&T Finance,05/28/2026,Buy,NSE,50,282.85
INE576O01020,Laxmi Organic,05/28/2026,Buy,NSE,30,169.87
INF769K01HP3,Motilal Oswal NASDAQ 100 FOF,05/28/2026,Buy,NSE,400,82.90
INE123F01029,MMTC,05/28/2026,Buy,NSE,50,78.63
INE864I01014,MTAR Technologies,05/28/2026,Buy,NSE,6,3349.17
INE153A01019,MTNL,05/28/2026,Buy,NSE,450,50.00
INE233D01013,Nathan Plastics,05/28/2026,Buy,NSE,2541,62.06
INE732C01016,NCL Industries,05/28/2026,Buy,NSE,106,236.25
INE848E01016,NHPC,05/28/2026,Buy,NSE,20,77.40
INE470Y01017,New India Assurance,05/28/2026,Buy,NSE,15,160.24
INE445D01013,Nile Limited,05/28/2026,Buy,NSE,27,1504.04
INE310A01015,Nilkamal,05/28/2026,Buy,NSE,25,1635.49
INE213A01029,ONGC,05/28/2026,Buy,NSE,30,216.48
INE420C01059,Paisalo Digital,05/28/2026,Buy,NSE,41205,42.61
INE167E01037,Panchmahal Steel,05/28/2026,Buy,NSE,531,104.57
INE457L01029,PG Electroplast,05/28/2026,Buy,NSE,5,557.31
INE160A01022,Punjab National Bank,05/28/2026,Buy,NSE,2600,83.00
INE511C01022,Poonawalla Fincorp,05/28/2026,Buy,NSE,60,433.78
INE211R01019,Power Mech Projects,05/28/2026,Buy,NSE,5,2442.03
INE004A01022,Protean eGov Technologies,05/28/2026,Buy,NSE,62,1104.88
INE608A01012,Punjab & Sind Bank,05/28/2026,Buy,NSE,550,31.52
INE230R01035,Rama Steel Tubes,05/28/2026,Buy,NSE,5500,7.87
INE822D01021,Rasi Electrodes,05/28/2026,Buy,NSE,830,29.42
INE027A01015,RCF,05/28/2026,Buy,NSE,530,158.64
INE020B01018,REC Limited,05/28/2026,Buy,NSE,175,361.38
