ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE002A01018,Reliance Industries,05/28/2026,Buy,NSE,1,1200.00
INE036A01016,Reliance Infrastructure,05/28/2026,Buy,NSE,590,135.54
INE263M01029,Rustomjee,05/28/2026,Buy,NSE,185,652.82
INE190H01024,Sakuma Exports,05/28/2026,Buy,NSE,3000,7.24
INE148I01020,Sammaan Capital,05/28/2026,Buy,NSE,20,186.19
INE964H01014,SEPC Limited,05/28/2026,Buy,NSE,2410,14.59
INE721A01047,Shriram Finance,05/28/2026,Buy,NSE,30,601.75
INE003A01024,Siemens,05/28/2026,Buy,NSE,2,5765.41
INE0QSK01017,Siyaram,05/28/2026,Buy,NSE,1500,37.02
INE076B01028,Siyaram Silk Mills,05/28/2026,Buy,NSE,73,636.26
INE103C01036,SMC Global Securities,05/28/2026,Buy,NSE,100,60.00
INE683A01023,South Indian Bank,05/28/2026,Buy,NSE,100,40.09
INE147A01011,SPIC,05/28/2026,Buy,NSE,426,92.26
INE754A01055,Subex Limited,05/28/2026,Buy,NSE,3200,21.39
INE00H001014,Swiggy,05/28/2026,Buy,NSE,1580,382.35
INE586B01026,Taj GVK Hotels,05/28/2026,Buy,NSE,60,388.23
INE092A01019,Tata Chemicals,05/28/2026,Buy,NSE,39,1078.98
INE192A01025,Tata Consumer Products,05/28/2026,Buy,NSE,3,1000.00
INE672A01026,Tata Investment Corp,05/28/2026,Buy,NSE,85,386.25
INE245A01021,Tata Power,05/28/2026,Buy,NSE,19,357.82
INE142M01025,Tata Technologies,05/28/2026,Buy,NSE,37,1023.26
INF277KA1984,Tata Silver ETF,05/28/2026,Buy,NSE,1000,22.33
INE621L01012,Texmaco Rail,05/28/2026,Buy,NSE,300,119.83
INE480M01011,Thomas Cook,05/28/2026,Buy,NSE,130,317.23
INE1TAE01010,TMCV,05/28/2026,Buy,NSE,43,44.92
