ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE155A01022,Tata Motors PV,05/28/2026,Buy,NSE,38,642.50
INE421C01016,TVS Srichakra,05/28/2026,Buy,NSE,8,3835.41
INE694A01020,Unitech,05/28/2026,Buy,NSE,148000,10.52
INE735W01017,Utkarsh Small Finance Bank,05/28/2026,Buy,NSE,100,15.29
INE1CDF01017,VAML,05/28/2026,Buy,NSE,550,119.16
INE205A01025,Vedanta,05/28/2026,Buy,NSE,540,223.58
INE694L01019,Vedanta Power,05/28/2026,Buy,NSE,540,52.24
INE484C01030,Veedol Corporation,05/28/2026,Buy,NSE,6,1387.39
INE1CLE01013,Visa Steel,05/28/2026,Buy,NSE,640,28.49
INE704J01044,Vogl,05/28/2026,Buy,NSE,540,91.80
INE710A01016,VST Industries,05/28/2026,Buy,NSE,265,316.92
INE711A01022,Walchandnagar Industries,05/28/2026,Buy,NSE,104,154.78
INE855C01023,Websol Energy System,05/28/2026,Buy,NSE,200,101.36
INE625G01013,Welspun Enterprises,05/28/2026,Buy,NSE,40,503.93
INE731F01037,Welspun Specialty Solutions,05/28/2026,Buy,NSE,82603,39.43
INE274C01019,Wendt India,05/28/2026,Buy,NSE,5,8154.96
INE692G01013,Xchanging Solutions,05/28/2026,Buy,NSE,290,88.02
INE528G01035,Yes Bank,05/28/2026,Buy,NSE,15800,20.54
INE318D01020,Zenith Steel,05/28/2026,Buy,NSE,1050,8.70
