ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE470A01017,3M India,05/28/2026,Buy,NSE,1,31062.00
INE814H01029,Adani Power,05/28/2026,Buy,NSE,150,152.41
INE326B01035,Almondz Global Securities,05/28/2026,Buy,NSE,2105,15.26
INE377Y01014,Bajaj Housing Finance,05/28/2026,Buy,NSE,120,118.53
INE296A01032,Bajaj Finance,05/28/2026,Buy,NSE,20,870.00
INE186H01022,BASF India,05/28/2026,Buy,NSE,650,49.29
INE462A01022,Bayer Cropscience,05/28/2026,Buy,NSE,7,6244.66
INE464A01036,Balrampur Chini,05/28/2026,Buy,NSE,18,3565.62
INE213D01015,Beekay Steel,05/28/2026,Buy,NSE,100,468.25
INE263A01024,Bharat Electronics,05/28/2026,Buy,NSE,50,433.49
INE258A01024,BEML,05/28/2026,Buy,NSE,20,4231.33
INE463A01038,Berger Paints,05/28/2026,Buy,NSE,10,487.47
INE052T01021,Best Agrolife,05/28/2026,Buy,NSE,1000,19.21
INE465A01025,Bharat Forge,05/28/2026,Buy,NSE,5,1030.43
INE838B01021,Bharat Rasayan,05/28/2026,Buy,NSE,8,10245.12
INE257A01026,BHEL,05/28/2026,Buy,NSE,10,404.18
INE118H01025,BSE Ltd,05/28/2026,Buy,NSE,31,2340.71
INE264T01014,Capacite Infraprojects,05/28/2026,Buy,NSE,85,255.52
INE0LMW01024,Cello World,05/28/2026,Buy,NSE,60,534.56
INE345B01019,Cerebra Integrated,05/28/2026,Buy,NSE,23900,7.22
INE515A01019,Cockerill,05/28/2026,Buy,NSE,23,8025.54
INE124G01033,Delta Corp,05/28/2026,Buy,NSE,210,66.55
INE255Z01027,E2E Networks,05/28/2026,Buy,NSE,25,427.83
INE532F01054,Edelweiss Financial,05/28/2026,Buy,NSE,385,111.93
INE1NPP01017,Enrin,05/28/2026,Buy,NSE,12,3688.02
INE0G5901015,Epack Durable,05/28/2026,Buy,NSE,140,285.89
INE694X01030,GG Engineering,05/28/2026,Buy,NSE,20000,1.53
INE162A01010,Gujarat Industries Power,05/28/2026,Buy,NSE,180,163.04
INE260B01028,Godfrey Phillips,05/28/2026,Buy,NSE,12,2108.63
INE512D01028,Gourmet,05/28/2026,Buy,NSE,100,7.92
INE0HOQ01053,Groww,05/28/2026,Buy,NSE,40,198.61
INE066F01020,HAL,05/28/2026,Buy,NSE,4,4138.19
INE419U01012,Happiest Minds,05/28/2026,Buy,NSE,25,580.12
INE549A01026,HCC,05/28/2026,Buy,NSE,50,17.65
INE040A01034,HDFC Bank,05/28/2026,Buy,NSE,15,767.61
INE170I01016,Hinduja Global Solutions,05/28/2026,Buy,NSE,146,487.79
INE267A01025,Hindustan Zinc,05/28/2026,Buy,NSE,2,420.59
INE090A01021,ICICI Bank,05/28/2026,Buy,NSE,355,1351.89
INE669E01016,Vodafone Idea,05/28/2026,Buy,NSE,15010,9.28
INE092T01019,IDFC First Bank,05/28/2026,Buy,NSE,700,67.54
INE681B01017,Indian Drugs & Medco,05/28/2026,Buy,NSE,100,439.69
INE154A01025,ITC,05/28/2026,Buy,NSE,85,332.93
INE758E01017,Jio Financial Services,05/28/2026,Buy,NSE,5,242.46
INE351F01018,Jaiprakash Power,05/28/2026,Buy,NSE,250,19.40
INE824G01012,JSW Holdings,05/28/2026,Buy,NSE,3,12176.04
INE237A01036,Kotak Mahindra Bank,05/28/2026,Buy,NSE,35,386.16
INE359U01028,Lancer Container Lines,05/28/2026,Buy,NSE,2100,31.58
INE0J1Y01017,LIC India,05/28/2026,Buy,NSE,10,414.42
INE802B01027,Linc Pens,05/28/2026,Buy,NSE,423,126.23
INE018A01030,Larsen & Toubro,05/28/2026,Buy,NSE,13,3915.07
INE498L01015,L&T Finance,05/28/2026,Buy,NSE,50,282.85
INE576O01020,Laxmi Organic,05/28/2026,Buy,NSE,30,169.87
INF769K01HP3,Motilal Oswal NASDAQ 100 FOF,05/28/2026,Buy,NSE,400,82.90
INE123F01029,MMTC,05/28/2026,Buy,NSE,50,78.63
INE864I01014,MTAR Technologies,05/28/2026,Buy,NSE,6,3349.17
INE153A01019,MTNL,05/28/2026,Buy,NSE,450,50.00
INE233D01013,Nathan Plastics,05/28/2026,Buy,NSE,2541,62.06
INE732C01016,NCL Industries,05/28/2026,Buy,NSE,106,236.25
INE848E01016,NHPC,05/28/2026,Buy,NSE,20,77.40
INE470Y01017,New India Assurance,05/28/2026,Buy,NSE,15,160.24
INE445D01013,Nile Limited,05/28/2026,Buy,NSE,27,1504.04
INE310A01015,Nilkamal,05/28/2026,Buy,NSE,25,1635.49
INE213A01029,ONGC,05/28/2026,Buy,NSE,30,216.48
INE420C01059,Paisalo Digital,05/28/2026,Buy,NSE,41205,42.61
INE167E01037,Panchmahal Steel,05/28/2026,Buy,NSE,531,104.57
INE457L01029,PG Electroplast,05/28/2026,Buy,NSE,5,557.31
INE160A01022,Punjab National Bank,05/28/2026,Buy,NSE,2600,83.00
INE511C01022,Poonawalla Fincorp,05/28/2026,Buy,NSE,60,433.78
INE211R01019,Power Mech Projects,05/28/2026,Buy,NSE,5,2442.03
INE004A01022,Protean eGov Technologies,05/28/2026,Buy,NSE,62,1104.88
INE608A01012,Punjab & Sind Bank,05/28/2026,Buy,NSE,550,31.52
INE230R01035,Rama Steel Tubes,05/28/2026,Buy,NSE,5500,7.87
INE822D01021,Rasi Electrodes,05/28/2026,Buy,NSE,830,29.42
INE027A01015,RCF,05/28/2026,Buy,NSE,530,158.64
INE020B01018,REC Limited,05/28/2026,Buy,NSE,175,361.38
INE002A01018,Reliance Industries,05/28/2026,Buy,NSE,1,1200.00
INE036A01016,Reliance Infrastructure,05/28/2026,Buy,NSE,590,135.54
INE263M01029,Rustomjee,05/28/2026,Buy,NSE,185,652.82
INE190H01024,Sakuma Exports,05/28/2026,Buy,NSE,3000,7.24
INE148I01020,Sammaan Capital,05/28/2026,Buy,NSE,20,186.19
INE964H01014,SEPC Limited,05/28/2026,Buy,NSE,2410,14.59
INE721A01047,Shriram Finance,05/28/2026,Buy,NSE,30,601.75
INE003A01024,Siemens,05/28/2026,Buy,NSE,2,5765.41
INE0QSK01017,Siyaram,05/28/2026,Buy,NSE,1500,37.02
INE076B01028,Siyaram Silk Mills,05/28/2026,Buy,NSE,73,636.26
INE103C01036,SMC Global Securities,05/28/2026,Buy,NSE,100,60.00
INE683A01023,South Indian Bank,05/28/2026,Buy,NSE,100,40.09
INE147A01011,SPIC,05/28/2026,Buy,NSE,426,92.26
