ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE911Z01025,A1 Limited,05/28/2026,Buy,NSE,4000,9.72
INE449C01025,Andrew Yule,05/28/2026,Buy,NSE,633,28.16
INE021A01026,Asian Paints,05/28/2026,Buy,NSE,20,2783.98
INE897N01014,AVI,05/28/2026,Buy,NSE,1000,16.84
INE377Y01014,Bajaj Housing Finance,05/28/2026,Buy,NSE,70,134.15
INE213D01015,Beekay Steel,05/28/2026,Buy,NSE,10,588.77
INE263A01024,Bharat Electronics,05/28/2026,Buy,NSE,15,412.80
INE838B01021,Bharat Rasayan,05/28/2026,Buy,NSE,8,10234.10
INE257A01026,BHEL,05/28/2026,Buy,NSE,10,404.18
INE264T01014,Capacite Infraprojects,05/28/2026,Buy,NSE,125,359.11
INE345B01019,Cerebra Integrated,05/28/2026,Buy,NSE,1769,8.72
INE227W01023,Clean Science,05/28/2026,Buy,NSE,16,779.05
INE515A01019,Cockerill,05/28/2026,Buy,NSE,28,7337.49
INE935N01020,Dixon Technologies,05/28/2026,Buy,NSE,1,15562.64
INE016M01021,DNA Media,05/28/2026,Buy,NSE,1000,3.13
INE920A01037,Dolphin Offshore,05/28/2026,Buy,NSE,50,372.25
INE532F01054,Edelweiss Financial,05/28/2026,Buy,NSE,600,108.38
INE0G5901015,Epack,05/28/2026,Buy,NSE,20,233.75
INE162A01010,Gujarat Industries Power,05/28/2026,Buy,NSE,5,216.37
INE260B01028,Godfrey Phillips,05/28/2026,Buy,NSE,13,2276.08
INE484J01027,Godrej Properties,05/28/2026,Buy,NSE,40,2239.51
INE0HOQ01053,Groww,05/28/2026,Buy,NSE,20,185.57
INE221H01019,GTL Infrastructure,05/28/2026,Buy,NSE,3000,2.44
INE549A01026,HCC,05/28/2026,Buy,NSE,710,29.96
INE578A01017,Heidelberg Cement,05/28/2026,Buy,NSE,2275,151.48
INE090A01021,ICICI Bank,05/28/2026,Buy,NSE,2,1436.39
INE725G01011,ICRA,05/28/2026,Buy,NSE,2,5946.87
INE669E01016,Vodafone Idea,05/28/2026,Buy,NSE,13400,8.36
INE681B01017,Indian Drugs & Medco,05/28/2026,Buy,NSE,69,362.72
INE154A01025,ITC,05/28/2026,Buy,NSE,5,285.56
INE379A01028,ITC Hotels,05/28/2026,Buy,NSE,5,155.12
INE263B01022,Jaysynth Dyestuff,05/28/2026,Buy,NSE,700,13.00
INE351F01018,Jaiprakash Power,05/28/2026,Buy,NSE,100,21.58
INE237A01036,Kotak Mahindra Bank,05/28/2026,Buy,NSE,240,360.23
INE359U01028,Lancer Container Lines,05/28/2026,Buy,NSE,700,29.16
INE0J1Y01017,LIC India,05/28/2026,Buy,NSE,5,410.30
INE802B01027,Linc Pens,05/28/2026,Buy,NSE,203,99.50
INE018A01030,Larsen & Toubro,05/28/2026,Buy,NSE,6,3932.26
INF769K01HP3,Motilal Oswal NASDAQ 100 FOF,05/28/2026,Buy,NSE,50,69.55
INE094S01041,Mishtann Foods,05/28/2026,Buy,NSE,2000,7.57
INE943D01017,MPS Limited,05/28/2026,Buy,NSE,1,1808.39
INE095N01031,NBCC,05/28/2026,Buy,NSE,100,100.14
INE0NT901020,Netweb Technologies,05/28/2026,Buy,NSE,5,2596.13
INE848E01016,NHPC,05/28/2026,Buy,NSE,20,87.65
INE470Y01017,New India Assurance,05/28/2026,Buy,NSE,10,212.72
INF204K014N5,Nippon India ETF Nifty 100,05/28/2026,Buy,NSE,50,265.44
INE445D01013,Nile Limited,05/28/2026,Buy,NSE,12,2140.10
INE310A01015,Nilkamal,05/28/2026,Buy,NSE,7,1883.95
INE589A01014,NLC India,05/28/2026,Buy,NSE,20,311.10
INE420C01059,Paisalo Digital,05/28/2026,Buy,NSE,18094,45.79
INE546C01010,Piccadily Agro,05/28/2026,Buy,NSE,20,578.05
INE083C01022,Plastiblends India,05/28/2026,Buy,NSE,20,173.41
INE211R01019,Power Mech Projects,05/28/2026,Buy,NSE,10,2436.36
INE488V01015,PSP Projects,05/28/2026,Buy,NSE,5,769.54
INE301A01014,Raymond,05/28/2026,Buy,NSE,5,1614.81
INE1SY401010,Raymond Lifestyle,05/28/2026,Buy,NSE,5,624.55
INE027A01015,RCF,05/28/2026,Buy,NSE,45,157.70
INE020B01018,REC Limited,05/28/2026,Buy,NSE,30,348.92
INE002A01018,Reliance,05/28/2026,Buy,NSE,1,1273.44
INE036A01016,Reliance Infrastructure,05/28/2026,Buy,NSE,40,282.82
INE614G01033,Reliance Power,05/28/2026,Buy,NSE,60,43.05
INE440C01016,Saboo Sodium Chloro,05/28/2026,Buy,NSE,300,11.67
INE148I01020,Sammaan Capital,05/28/2026,Buy,NSE,10,186.11
INE062A01020,State Bank of India,05/28/2026,Buy,NSE,1,818.63
INE003A01024,Siemens,05/28/2026,Buy,NSE,1,2824.16
INE103C01036,SMC Global Securities,05/28/2026,Buy,NSE,320,105.93
INE683A01023,South Indian Bank,05/28/2026,Buy,NSE,100,40.11
INE089C01029,Sterlite Technologies,05/28/2026,Buy,NSE,15,590.39
INE754A01055,Subex Limited,05/28/2026,Buy,NSE,1100,30.76
INE947A01014,Sunflag Iron,05/28/2026,Buy,NSE,5,360.57
INE665A01038,Swan Corp,05/28/2026,Buy,NSE,5,429.61
INE00H001014,Swiggy,05/28/2026,Buy,NSE,220,347.44
INE670A01012,Tata Elxsi,05/28/2026,Buy,NSE,5,5636.28
INE672A01026,Tata Investment Corp,05/28/2026,Buy,NSE,5,831.96
INF277KA1984,Tata Silver ETF,05/28/2026,Buy,NSE,50,25.53
INE480M01011,Thomas Scott,05/28/2026,Buy,NSE,25,259.17
INE0MWH01014,TruAlt Bioenergy,05/28/2026,Buy,NSE,10,525.24
INE517B01013,Tata Teleservices Maharashtra,05/28/2026,Buy,NSE,100,76.74
INE694A01020,Unitech,05/28/2026,Buy,NSE,1794,7.65
INE1CDF01017,VAML,05/28/2026,Buy,NSE,85,216.13
INE205A01025,Vedanta,05/28/2026,Buy,NSE,50,254.36
INE694L01019,Vedanta Power,05/28/2026,Buy,NSE,50,59.43
INE484C01030,Veedol Corporation,05/28/2026,Buy,NSE,2,1408.52
INE1CLE01013,Visa Steel,05/28/2026,Buy,NSE,250,29.22
INE704J01044,Vogl,05/28/2026,Buy,NSE,50,104.43
INE710A01016,VST Industries,05/28/2026,Buy,NSE,230,284.37
INE764D01017,VST Tillers Tractors,05/28/2026,Buy,NSE,5,4552.73
INE855C01023,Websol Energy System,05/28/2026,Buy,NSE,200,107.57
INE625G01013,Welspun Enterprises,05/28/2026,Buy,NSE,10,495.17
INE731F01037,Welspun Specialty Solutions,05/28/2026,Buy,NSE,44062,41.12
INE274C01019,Wendt India,05/28/2026,Buy,NSE,1,10169.94
INE528G01035,Yes Bank,05/28/2026,Buy,NSE,7300,22.83
